词,拼音,用途
垃圾袋,lā jī dài,套在垃圾桶上的袋子，包装上印着
保鲜膜,bǎo xiān mó,透明的一层膜，盖碗上包东西
启动,qǐ dòng,按一下，机器开始干活
暂停,zàn tíng,先停一下，还能接着用
返回,fǎn huí,退回上一个画面
确认,què rèn,按这个键，表示就这么办
待机,dài jī,机器歇着没干活，按一下就能用
开始,kāi shǐ,按这个键，机器就动起来
取消,qǔ xiāo,按错了就按它，重新来
请勿吸烟,qǐng wù xī yān,墙上贴的字，店里不准抽烟
盐,yán,盐罐上的字，白白的细颗粒
糖,táng,糖罐上的字，甜的
醋,cù,醋瓶上的字，酸的那瓶
味精,wèi jīng,烧菜提味用的白粉，袋子上印着
鸡精,jī jīng,烧菜提味用的黄粉，袋子上印着
胡椒,hú jiāo,胡椒磨的粉，撒汤里提味
酱油,jiàng yóu,黑黑的咸汁，也叫生抽
香油,xiāng yóu,芝麻磨的油，点面时滴几滴
料酒,liào jiǔ,炒肉去腥用的，瓶子上印着
淀粉,diàn fěn,勾芡、码肉用的白粉
抹布,mā bù,擦桌子用的布
牙签,yá qiān,剔牙用的小棍
纸巾,zhǐ jīn,擦嘴的纸，桌上摆着
筷子,kuài zi,吃饭用的两根小棍，餐具柜和包装上印着
楼梯,lóu tī,指示牌上写着，一层层走上去
电梯,diàn tī,上楼下楼坐这个
卫生间,wèi shēng jiān,门上写着这三个字，就是厕所
塑料袋,sù liào dài,买东西给的白色袋子
入口,rù kǒu,从这里进店
生产日期,shēng chǎn rì qī,包装上印着，东西是哪天做的
保质期,bǎo zhì qī,包装上印着，过了这日子就别吃了
钥匙,yào shi,开家门的
出口,chū kǒu,从这扇门出去
小心地滑,xiǎo xīn dì huá,商场、楼道常立的黄牌子，走路慢点
快递,kuài dì,送来的包裹上印着，网上买的东西送来了
包裹,bāo guǒ,寄来的一大包东西
取件码,qǔ jiàn mǎ,手机短信里那串数字
驿站,yì zhàn,小区门口代收快递的店
收件人,shōu jiàn rén,上面写着你的名字
退货,tuì huò,不想要了，寄回去
身份证,shēn fèn zhèng,上面印着名字和号码，出门得随身带着
今天,jīn tiān,就是现在这一天
明天,míng tiān,一觉醒来那天
后天,hòu tiān,明天的明天
星期,xīng qī,一周七天，从星期一到星期天
周末,zhōu mò,星期六、星期天，歇着
上午,shàng wǔ,早上到中午之前
中午,zhōng wǔ,十二点前后
下午,xià wǔ,中午到天黑之前
晚上,wǎn shang,天黑以后
晴天,qíng tiān,大太阳，好天气
阴天,yīn tiān,没太阳，也不下雨
下雨,xià yǔ,出门记得带伞
下雪,xià xuě,路滑，慢慢走
降温,jiàng wēn,要变冷了，添衣服
零下,líng xià,温度到了零度以下，水会结冰
路滑,lù huá,路面结冰打滑，要小步慢走
生日,shēng rì,出生纪念日
农历,nóng lì,老日历上的日子，标着初一、十五
日历,rì lì,墙上挂的，看日子
提醒,tí xǐng,手机到点会响
原价,yuán jià,打折前的价钱，价签上划掉的那个数
现价,xiàn jià,价签上现在卖的价钱，按这个数收
打折,dǎ zhé,比原价便宜，牌子上的数越小越便宜
特价,tè jià,今天便宜卖的，牌子贴在货架上
买一送一,mǎi yī sòng yī,买一件再给一件，包装上贴着
一斤,yī jīn,菜摊上称重用的单位，等于十两
公斤,gōng jīn,价签上的重量单位，等于两斤
每斤,měi jīn,价签上的字，后面的数是一斤的价钱
每个,měi gè,论个卖的东西，后面的数是一个的价钱
会员价,huì yuán jià,价签上另一种颜色标的价，办卡才享受
现金,xiàn jīn,手里的钞票，有的收银台只收这个
找零,zhǎo líng,给多了，售货员退回来的零钱
营业时间,yíng yè shí jiān,店门口挂着，几点开门几点关门
休息日,xiū xi rì,门口牌子上写着，这一天不开门、不办公
节假日,jié jià rì,过年过节的日子，办事要先看放不放假
有效期至,yǒu xiào qī zhì,卡上、证上印着，过了这天就不能用了
截止日期,jié zhǐ rì qī,最后一天，过了就办不成了
停水通知,tíng shuǐ tōng zhī,楼道里贴的，哪天没水用
停电通知,tíng diàn tōng zhī,楼道里贴的，哪天没电用
物业费,wù yè fèi,交给小区管事的钱，单子贴在公告栏
水费,shuǐ fèi,用水的钱，单子塞在门缝里
电费,diàn fèi,用电的钱，电表箱上贴着单子
菜单,cài dān,写着所有菜和价格的本子
米饭,mǐ fàn,一碗一碗的白饭
饺子,jiǎo zi,皮包馅，过年常吃
包子,bāo zi,早上蒸的一笼一笼
馒头,mán tou,白白软软的蒸面
稀饭,xī fàn,米熬的稀粥
例汤,lì tāng,一碗一碗盛好的汤
荤菜,hūn cài,有肉的菜
素菜,sù cài,全是蔬菜的菜
打包,dǎ bāo,吃不完，装起来带走
堂食,táng shí,在店里坐着吃
发票,fā piào,报销要用的正式票据
香菜,xiāng cài,又叫芫荽，一小撮绿叶子
葱花,cōng huā,切碎的葱，撒在菜上
泡菜,pào cài,腌过的萝卜白菜，酸辣爽口
酸菜,suān cài,腌过的青菜，酸酸的
煎蛋,jiān dàn,油锅里煎的鸡蛋，边上焦黄
早餐,zǎo cān,早上吃的那一顿，招牌上写着
火锅,huǒ guō,围着热锅涮着吃的，店门口大字写着
油条,yóu tiáo,早上炸的长条面食，早餐摊招牌上写
豆浆,dòu jiāng,黄豆磨的白色饮品，早餐摊上常见
炒饭,chǎo fàn,锅里炒的饭，菜单上常见
矿泉水,kuàng quán shuǐ,瓶装的水，小店冰柜里卖
馄饨,hún tun,皮包馅、带汤吃的小吃，也叫抄手
米粉,mǐ fěn,大米做的粉条，泡汤里吃
饮料,yǐn liào,瓶装的甜水，冰柜上写着这两个字
凉菜,liáng cài,菜单上分栏，不热的那几样
热菜,rè cài,菜单上分栏，现炒现做的
主食,zhǔ shí,菜单上分栏，饭和面都归这里
小吃,xiǎo chī,店招牌上常见，垫肚子的小份吃食
快餐,kuài cān,招牌上写着，坐下就吃不用等
家常菜,jiā cháng cài,招牌上写着，平常家里吃的那几样
红烧,hóng shāo,菜名前两个字，酱油烧的，比如红烧肉
清蒸,qīng zhēng,菜名前两个字，蒸出来的，比如清蒸鱼
扫码点餐,sǎo mǎ diǎn cān,桌上贴的，用手机扫一下自己点
元,yuán,价钱后面那个字，就是钱
危险,wēi xiǎn,红牌子上写着，看见躲远点
注意,zhù yì,牌子上写着，多留个心眼
超市,chāo shì,门口大招牌，自己拿东西去结账
菜市场,cài shì chǎng,买菜的地方，大门口写着
银行,yín háng,存钱取钱的地方，门口有招牌
收据,shōu jù,收了钱的凭条，比发票简单
每袋,měi dài,价签上的字，后面是一袋的价钱
每瓶,měi píng,价签上的字，后面是一瓶的价钱
每件,měi jiàn,价签上的字，后面是一件东西的价
白菜,bái cài,菜摊上一大棵，冬天最便宜
土豆,tǔ dòu,土黄色的圆疙瘩，价签上写着
西红柿,xī hóng shì,红红的圆果子，也叫番茄
黄瓜,huáng guā,绿长条带小刺，凉拌也好吃
茄子,qié zi,紫皮的长条菜，红烧最常见
萝卜,luó bo,白胖的一根，炖汤最常见
辣椒,là jiāo,红的绿的两样，辣味全靠它
生姜,shēng jiāng,黄皮掰开有味，炖肉去腥
大蒜,dà suàn,一瓣一瓣的，剥皮捣碎用
猪肉,zhū ròu,比牛肉便宜，炒菜炖汤都用
鸡蛋,jī dàn,一盒盒装好，论个买，也有散装的
豆腐,dòu fu,白白软软一块，煎炒烧汤都行
苹果,píng guǒ,红红的圆果子，脆甜，论斤卖
香蕉,xiāng jiāo,黄黄的弯月形，剥开皮就吃
西瓜,xī guā,绿皮红瓤，夏天切开解暑
大米,dà mǐ,米袋上印着，煮饭熬粥都靠它
面粉,miàn fěn,袋子上的字，包饺子、烙饼用它
面条,miàn tiáo,细长的一条条，下锅煮熟吃
食用油,shí yòng yóu,油桶上写着，炒菜都用它
拖把,tuō bǎ,长长的杆子，地上脏了用它擦
扫把,sào bǎ,扫地用的那把，灰都归它管
垃圾桶,lā jī tǒng,套上袋子装垃圾，桶身上写着字
雨伞,yǔ sǎn,下雨出门带上，撑开挡雨
拖鞋,tuō xié,家里穿的，后跟是空的
袜子,wà zi,穿在脚上，包住整个脚掌
帽子,mào zi,戴在头上挡太阳、挡风
手套,shǒu tào,冬天戴在手上，五个指头分开
围巾,wéi jīn,绕在脖子上，天冷挡风
梳子,shū zi,带齿的小东西，梳头发用
镜子,jìng zi,照见自己的那块玻璃
衣架,yī jià,晾衣服、挂衣服的架子
取款,qǔ kuǎn,机器屏幕上的字，按它把钱拿出来
存款,cún kuǎn,机器上的一项，把钱存进去
查询,chá xún,按它能看看卡里还有多少钱
退卡,tuì kǎ,办完事按它，把卡退出来
社保卡,shè bǎo kǎ,卡上印着，看病买药、领钱都用它
存折,cún zhé,小本子，存的钱一笔笔印在上面
社区,shè qū,门口牌子上写着，办事找这里
居委会,jū wěi huì,小区门口的牌子，管家长里短
公告栏,gōng gào lán,楼下的板子，贴通知的地方
温馨提示,wēn xīn tí shì,小区告示抬头四个字，下面才是提醒
户口本,hù kǒu běn,小本子，写着全家人的名字
老年证,lǎo nián zhèng,封面上的字，坐车逛公园能免费
散装,sǎn zhuāng,价签上的字，没包装自己装袋
称重,chēng zhòng,价签上的字，先称了再结账
水产,shuǐ chǎn,超市吊牌上的字，卖鱼虾那一片
干货,gān huò,吊牌上的字，香菇木耳那一片
养老金,yǎng lǎo jīn,每月发的钱，存折上写着
利息,lì xī,存钱多出来的那部分，存折上有
剪刀,jiǎn dāo,两片刀交叉，剪东西用的
指甲刀,zhǐ jiǎ dāo,小小的一把，剪指甲用
棉被,mián bèi,厚厚的被子，天冷盖它
床单,chuáng dān,铺在床上的那层布
枕头,zhěn tou,睡觉垫在头底下的那个
